Priority_Tier,Company,Brand_Division,Job_Title,City,State,Region,Level,Employment_Type,Annual_Salary_Low,Annual_Salary_High,Hourly_Low,Hourly_High,Min_Experience_Yrs,Education_Required,Key_Responsibilities,Key_Skills,Apply_URL,Backup_Search_URL,Source_Platform,Dates_Timeline,Perks_Benefits,Status_Notes
1 - Internship,URBN,Urban Outfitters / Anthropologie / Free People / Nuuly,2026 Summer Supply Chain Internship,Philadelphia,PA,Philadelphia,Internship,Internship,,,15.00,20.00,0,Current undergrad student (rising junior or senior),"Day-to-day supply chain operations support; inventory & demand planning exposure; distribution center tours; leadership development seminars; cross-functional project collaboration; retail math training","Supply chain basics; Excel; retail math; analytical thinking; collaboration; time management; intellectual curiosity",https://www.urbn.com/internships,https://talent.urbn.com/jobs?search=supply+chain+internship,URBN Careers (urbn.com/internships),"10 weeks Jun 1 – Aug 7 2026; on-site at Philadelphia Navy Yard (5000 S Broad St); all-brands exposure","Paid $15–$20/hr; generous employee discounts across all URBN brands; medical/dental/vision available; retirement savings; PTO; direct pipeline to FT Allocation Analyst roles","Search for 'Supply Chain Internship' on talent.urbn.com if direct URL changes"
1 - Internship,Burlington Stores,Burlington Coat Factory / Burlington,Planning & Allocation Analyst Intern – Summer 2026,Burlington,NJ,New Jersey,Internship,Internship,,,21.00,21.00,0,"Pursuing Bachelor's in Merchandising / Marketing / Business / Supply Chain; graduating Dec 2026 – Aug 2027","Day-to-day allocation analyst experience; manage & optimize in-store inventory; data-driven merchandise planning exposure; retail math; Microsoft Excel training; distribution center tours; leadership development seminars","Excel (intermediate+); retail math; inventory management; data analysis; analytical thinking; attention to detail; teamwork; competitive drive",https://burlington.wd5.myworkdayjobs.com/en-US/BurlingtonCareers/job/Planning---Allocation-Analyst-Intern---Summer-2026_R100184,https://burlington.wd5.myworkdayjobs.com/en-US/BurlingtonCareers,Burlington Workday Careers (burlington.wd5.myworkdayjobs.com),"10-wk summer 2026; Burlington NJ HQ (Edgewater Park area); hybrid 2–3 days in office; apply by Jun 25 2026; HireVue on-demand video interview + AI assessment","$21/hr; associate in-store discount; on-site gym; strong pipeline to Allocation Analyst Development Program ($65K FT role)","Confirmed open – deadline Jun 25 2026; if direct URL is dead, search 'Planning & Allocation Analyst Intern' on Burlington Workday"
1 - Internship,Tiffany & Co.,Tiffany & Co. (LVMH Group),Supply Chain Planning Intern,Parsippany,NJ,New Jersey,Internship,Internship,,,25.00,25.00,0,"Current undergrad in Supply Chain / Business / IT / Operations; rising junior or senior preferred","Supply chain planning project support; IT supply chain systems work; cross-functional project coordination; data analysis; process documentation; WMS/ERP system exposure","Supply chain planning fundamentals; Excel / data tools; systems aptitude; analytical skills; communication; curiosity about luxury retail supply chain",https://www.tiffanycareers.com/,https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/pages/163002,Tiffany Careers (tiffanycareers.com) / LVMH Careers,"Summer 2026 Jun 1 – Aug 7; Parsippany NJ Tiffany office; verify at tiffanycareers.com","Two internship tracks: SC Planning and IT SC Systems; LVMH-owned luxury brand; Tiffany name recognition on resume; $25/hr","Search 'Supply Chain Internship' on tiffanycareers.com or Oracle portal; historically recurring summer internship"
1 - Internship,Tiffany & Co.,Tiffany & Co. (LVMH Group),Logistics Internship (WMS Team),Whippany,NJ,New Jersey,Internship,Internship,,,25.00,25.00,0,"Current undergrad in Supply Chain / Logistics / Business / Computer Science; rising junior or senior preferred","WMS (Warehouse Management Systems) team intern; develop complex logistics systems to move products from suppliers to warehouses to customers; analytical & technical projects; robotic planning & deployment in omni-channel DC; Distribution Center operations exposure","Logistics & supply chain fundamentals; analytical thinking; attention to detail; Excel; systems & tech aptitude; shipping & receiving basics; luxury goods handling; reliability",https://www.tiffanycareers.com/,https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/pages/163002,Tiffany Careers (tiffanycareers.com) / LVMH Careers,"Jun 1 – Aug 7 2026; Whippany NJ logistics/distribution facility; $25/hr; in-person","$25/hr; LVMH luxury brand exposure; Tiffany & Co. WMS/distribution operations experience; strong resume builder","Search 'Logistics Internship' or 'WMS Internship' on tiffanycareers.com – role confirmed active for Summer 2026"
1 - Internship,Tapestry,Coach / Kate Spade / Tapestry Corporate,Summer Supply Chain Product Development Procurement & Operations Intern,New York,NY,NYC,Internship,Internship,,,20.00,20.00,0,Current undergrad student,"Materials & product development support; supplier selection & negotiation; market analysis; cross-functional collaboration with supply chain & ops teams","Supply chain fundamentals; Excel; materials knowledge; vendor awareness; communication; time management",https://careers.tapestry.com/job/New-York-Summer-Supply-Chain,-Product-Development,-Procurement-&-Operations-Internships-NY-10001/1345187900/,https://careers.tapestry.com/search-jobs?k=internship+supply+chain&l=New+York,Tapestry Careers (careers.tapestry.com),"10 weeks Jun 2 – Aug 7 2026; Hudson Yards NYC; hybrid Tue–Thu in office","$20/hr; Summer Fridays; product discounts; sample sales; meal stipends; luxury brand exposure across Coach & Kate Spade","If direct URL 404s, search 'Supply Chain Internship' on careers.tapestry.com"
1 - Internship,PVH Corp,Calvin Klein / Tommy Hilfiger,2026 Early Talent Undergraduate Internship – Supply Chain & Production,New York,NY,NYC,Internship,Internship,,,,,0,Current undergrad student (rising junior or senior),"Supply chain & production cycle exposure; production tracking support; merchandising liaison; design & vendor team collaboration; process documentation support","Supply chain basics; fashion/product knowledge; Excel; communication; analytical thinking; attention to detail",https://careers.pvh.com/jobs/2026-early-talent-undergraduate-internship-program-product-design-tech-design-merchandising-supply-chain-production-new-york-united-states,https://careers.pvh.com/jobs/search/results?q=2026+internship,PVH Careers (careers.pvh.com),"2026 cohort; NYC HQ (200 Madison Ave); rolling applications until filled","Full benefits package at full-time offer; above-market 401(k) contribution; internal mobility across Calvin Klein & Tommy Hilfiger brands","Rolling applications – search '2026 internship' on careers.pvh.com if direct URL is dead"
1 - Internship,Capri Holdings,Michael Kors / Versace / Jimmy Choo,Corporate Internship – Supply Chain & Logistics,New York / Secaucus,NY / NJ,NYC / NJ Hybrid,Internship,Internship,,,20.00,20.00,0,Current undergrad student (rising junior or senior or recent grad within 1 yr),"Supply chain & logistics cross-functional exposure; corporate project support across luxury brand divisions; process analysis; KPI reporting; brand operations liaison work","Supply chain fundamentals; luxury fashion awareness; Excel; communication; professional presence; curiosity about luxury SC operations",https://capri.wd1.myworkdayjobs.com/Michael_Kors/job/NY-Metro-Area/XMLNAME-2026-Capri-Holdings-Corporate-Summer-Internship_R_781520,https://capri.wd1.myworkdayjobs.com/Michael_Kors,Capri Workday Careers (capri.wd1.myworkdayjobs.com),"Jun 1 – Aug 6 2026; 10 weeks; hybrid Mon–Thu 32 hrs/wk; $20/hr; NYC HQ or Secaucus NJ office; application deadline was Feb 6 2026","$20/hr; exposure across MK / Versace / Jimmy Choo teams; hybrid schedule; luxury brand portfolio on resume","Feb 6 2026 deadline passed – program in progress; check Capri Workday portal for late add or 2027 cycle"
1 - Internship,Hugo Boss,Hugo Boss / Boss / Hugo,Summer Internship 2026 – Planning & Allocation,New York,NY,NYC,Internship,Internship,,,17.00,17.00,0,"Current undergrad student; Fashion / Business / Supply Chain / Merchandising major preferred","Allocation & planning support for Hugo Boss North America retail division (DOS / outlets / concession shops); inventory planning analysis; allocation recommendations; cross-functional collaboration with retail & wholesale planning teams; sales forecasting & store allocations; merchandise assortment development","Excel; retail math; inventory planning basics; attention to detail; analytical thinking; fashion awareness; communication",https://careers.hugoboss.com/global/en/job/143408/Summer-Internship-2026-Planning-Allocation,https://careers.hugoboss.com/global/en/search-results?keywords=planning,Hugo Boss Careers (careers.hugoboss.com),"Jun 8 – Aug 14 2026; NYC (685 Fifth Ave); on-site; up to 37.5 hrs/wk; $17/hr; potential extension Summer→Fall","$17/hr; Hugo Boss / Boss brand prestige; NY Fashion Week cycle exposure; employee discount on Hugo Boss products; luxury brand experience","Confirmed open – careers.hugoboss.com job 143408 (verified via BoF Careers job 308615)"
1 - Internship,Tapestry,Coach / Kate Spade / Stuart Weitzman,Summer Buying Planning and Wholesale Internships,New York,NY,NYC,Internship,Internship,,,20.00,20.00,0,"Current undergrad student; Merchandising / Business / Finance / Fashion major preferred","Buying / planning / wholesale operations support across Tapestry brands (Coach / Kate Spade / Stuart Weitzman); inventory planning exposure; wholesale account management support; financial planning analysis; cross-functional project work","Excel; retail math; data analysis; fashion buying basics; planning fundamentals; communication; teamwork",https://careers.tapestry.com/job/New-York-Summer-Buying,-Planning,-and-Wholesale-Internships-NY-10001/1236325900/,https://careers.tapestry.com/search-jobs?k=internship+planning,Tapestry Careers (careers.tapestry.com),"Jun 2 – Aug 7 2026; Hudson Yards NYC; hybrid Tue–Thu in office; $20/hr","$20/hr; multi-brand experience (Coach / Kate Spade / Stuart Weitzman); Summer Fridays; product discounts; meal stipends; luxury brand portfolio on resume","If direct URL 404s, search 'Buying Planning Wholesale Internship' on careers.tapestry.com"
1 - Internship,Macy's Inc.,Macy's / Bloomingdale's / bluemercury,2026 Summer Internship – Merchandise Planning & Inventory Management,New York,NY,NYC,Internship,Internship,,,18.15,26.40,0,"Current undergrad rising senior; graduating Dec 2026 or later; 3.0+ GPA; Business / Finance / Supply Chain / Analytics / Merchandising preferred","8-week summer internship; financial performance & assortment planning exposure; day-to-day allocation & replenishment activities; supply chain initiatives; demand forecasting & inventory optimization inputs; cross-functional projects","Excel; retail math; inventory planning fundamentals; data analysis; analytical thinking; communication; intellectual curiosity",https://www.indeed.com/viewjob?jk=e32abd039d5b6c3c,https://www.macys.jobs/search/?q=merchandise+planning+internship&loc=New+York,Macy's Inc. Careers (macys.jobs) / Indeed,"8 weeks Jun 2026 start; NYC (Macy's HQ – 151 W 34th St); $18.15–$26.40/hr","$18.15–$26.40/hr; Macy's Inc. brand portfolio exposure; employee discount; clear pipeline to Executive Development Program; strong retail planning career launchpad","Confirmed on Indeed/Glassdoor; backup is macys.jobs search"
2 - Entry-Level,Burlington Stores,Burlington Coat Factory / Burlington,Allocation Analyst – Development Program (2026 Start Dates),Burlington,NJ,New Jersey,Entry-Level,Full-Time,65000,65000,,,0,"Bachelor's in Merchandising / Business / Finance / Supply Chain or related field","Manage & optimize in-store inventory across Burlington retail locations; drive sales margin & store performance through data-driven allocation strategy; analyze sell-through & inventory data; develop allocation recommendations; generate KPI reports; collaborate with buying & planning teams; participate in structured onboarding & training program","Excel (advanced); retail math; inventory management; data analysis; allocation systems (training provided); critical thinking; attention to detail; team collaboration; eagerness to learn",https://burlingtonstores.jobs/burlington-nj/allocation-analyst-development-program-2026-start-dates/450B6040A3274C18AA50EDA59C4E7CAC/job/,https://burlington.wd5.myworkdayjobs.com/en-US/BurlingtonCareers,Burlington Stores Careers (burlingtonstores.jobs) / Burlington Workday,"Multiple 2026 start dates available; Burlington NJ HQ (Edgewater Park area); in-office; structured onboarding program for first weeks then placed in business area","$65K base + annual performance-based merit increase; generous PTO; medical/dental/vision; company-matched 401(k); paid holidays; Early Release Fridays all year","Confirmed open – search 'Allocation Analyst' on Burlington Workday if direct URL is dead"
